?   	github.com/Zapdev-labs/oxidize/golang/cmd/oxidize	[no test files]
ok  	github.com/Zapdev-labs/oxidize/golang/internal/api	(cached)
ok  	github.com/Zapdev-labs/oxidize/golang/internal/auth	(cached)
ok  	github.com/Zapdev-labs/oxidize/golang/internal/buildinfo	(cached)
ok  	github.com/Zapdev-labs/oxidize/golang/internal/cli	1.165s
ok  	github.com/Zapdev-labs/oxidize/golang/internal/generate	(cached)
ok  	github.com/Zapdev-labs/oxidize/golang/internal/gguf	(cached)
ok  	github.com/Zapdev-labs/oxidize/golang/internal/server	(cached)
ok  	github.com/Zapdev-labs/oxidize/golang/internal/serviceinfo	(cached)
ok  	github.com/Zapdev-labs/oxidize/golang/scripts	1.012s
