?   	github.com/Zapdev-labs/oxidize/golang/cmd/oxidize	[no test files]
ok  	github.com/Zapdev-labs/oxidize/golang/internal/api	1.014s
ok  	github.com/Zapdev-labs/oxidize/golang/internal/auth	(cached)
ok  	github.com/Zapdev-labs/oxidize/golang/internal/buildinfo	(cached)
ok  	github.com/Zapdev-labs/oxidize/golang/internal/cli	1.162s
ok  	github.com/Zapdev-labs/oxidize/golang/internal/generate	(cached)
ok  	github.com/Zapdev-labs/oxidize/golang/internal/gguf	(cached)
ok  	github.com/Zapdev-labs/oxidize/golang/internal/server	1.016s
ok  	github.com/Zapdev-labs/oxidize/golang/internal/serviceinfo	(cached)
ok  	github.com/Zapdev-labs/oxidize/golang/scripts	(cached)
